# lambda	calibration	sensitivity
4.070781000000014274e+02 4.462094722482158084e-03 2.315314708833757891e+02
4.071781000000014501e+02 4.498717034139149140e-03 2.300720771142252659e+02
4.072781000000014728e+02 4.535362814064742946e-03 2.286280240558414505e+02
4.073781000000014956e+02 4.572008593990335885e-03 2.271839709974576067e+02
4.074781000000015183e+02 4.608663137366118302e-03 2.257460804206071430e+02
4.075781000000015410e+02 4.645359708123910150e-03 2.243377436108195297e+02
4.076781000000015638e+02 4.682056278881702865e-03 2.229294068010319450e+02
4.077781000000015865e+02 4.718752849639495581e-03 2.215210699912443602e+02
4.078781000000016093e+02 4.755486668835066065e-03 2.201422231946539227e+02
4.079781000000016320e+02 4.792230906610733289e-03 2.187716249068024581e+02
4.080781000000016547e+02 4.828975144386399646e-03 2.174010266189510219e+02
4.081781000000016775e+02 4.865736716299504799e-03 2.160464727070933577e+02
4.082781000000017002e+02 4.902525365280208450e-03 2.147169811702683546e+02
4.083781000000017229e+02 4.939314014260911233e-03 2.133874896334433515e+02
4.084781000000017457e+02 4.976102663241614016e-03 2.120579980966183484e+02
4.085781000000017684e+02 5.012932302992999072e-03 2.107609182941515940e+02
4.086781000000017912e+02 5.049761975563255012e-03 2.094638644418318734e+02
4.087781000000018139e+02 5.086591648133510085e-03 2.081668105895121528e+02
4.088781000000018366e+02 5.123444120842029527e-03 2.068885067844175012e+02
4.089781000000018594e+02 5.160311293639691446e-03 2.056222918255591026e+02
4.090781000000018821e+02 5.197178466437354233e-03 2.043560768667007324e+02
4.091781000000019048e+02 5.234052981716221659e-03 2.030961767962477893e+02
4.092781000000019276e+02 5.270953990832803054e-03 2.018590627056146900e+02
4.093781000000019503e+02 5.307854999949383583e-03 2.006219486149815907e+02
4.094781000000019731e+02 5.344756009065964111e-03 1.993848345243484630e+02
4.095781000000019958e+02 5.381681827529770541e-03 1.981706225448061502e+02
4.096781000000020185e+02 5.418612865995304714e-03 1.969612292756628165e+02
4.097781000000020413e+02 5.455543904460839755e-03 1.957518360065195111e+02
4.098781000000020640e+02 5.492486273877019570e-03 1.945541329407416242e+02
4.099781000000020867e+02 5.529443375483773619e-03 1.933716291560488969e+02
4.100781000000021095e+02 5.566400477090527668e-03 1.921891253713561696e+02
4.101781000000021322e+02 5.603358543472980284e-03 1.910077746218740060e+02
4.102781000000021550e+02 5.640337571800145902e-03 1.898514761828635358e+02
4.103781000000021777e+02 5.677316600127312388e-03 1.886951777438530939e+02
4.104781000000022004e+02 5.714295628454478873e-03 1.875388793048426521e+02
4.105781000000022232e+02 5.751286156736566853e-03 1.863993531276800866e+02
4.106781000000022459e+02 5.788282796020734200e-03 1.852687396225859118e+02
