# lambda	calibration	sensitivity
4.086305000000018595e+02 8.209074922916533359e-03 1.184805335118070388e+02
4.087305000000018822e+02 8.259382074652300842e-03 1.683439243339632867e+02
4.088305000000019049e+02 8.309756706699422679e-03 1.929597195257523481e+02
4.089305000000019277e+02 8.360678671759031941e-03 9.698865728415282206e+01
4.090305000000019504e+02 8.411930796323180762e-03 1.458152211929870816e+02
4.091305000000019731e+02 8.463182920887331318e-03 1.946417851018213412e+02
4.092305000000019959e+02 8.514816537998685236e-03 1.045484976233437067e+02
4.093305000000020186e+02 8.566952191936812872e-03 1.241462654647726254e+02
4.094305000000020414e+02 8.619153604758331144e-03 1.719683975095899484e+02
4.095305000000020641e+02 8.671536294458163235e-03 1.554472907149014702e+02
4.096305000000020868e+02 8.724454974181374001e-03 1.033031277716160901e+02
4.097305000000021096e+02 8.777609425069356902e-03 1.501318556463611458e+02
4.098305000000021323e+02 8.830763875957341538e-03 1.969605835211062015e+02
4.099305000000021550e+02 8.884446147821236858e-03 8.328754642299196576e+01
4.100305000000021778e+02 8.938557176549285360e-03 1.291524970720635395e+02
4.101305000000022005e+02 8.992668205277335597e-03 1.750174477211351132e+02
4.102305000000022233e+02 9.047075801901838243e-03 1.205516798482122738e+02
4.103305000000022460e+02 9.102008142671851737e-03 1.089621486341300454e+02
4.104305000000022687e+02 9.157082346793226496e-03 1.538855798103899133e+02
4.105305000000022915e+02 9.212248992772934311e-03 1.681587968773916373e+02
4.106305000000023142e+02 9.267973945465159819e-03 8.954762816961313376e+01
4.107305000000023369e+02 9.324016292555737523e-03 1.335442572683899982e+02
4.108305000000023597e+02 9.380058639646315227e-03 1.775408863671668769e+02
4.109305000000023824e+02 9.436515618037011680e-03 8.805726199823081402e+01
4.110305000000024052e+02 9.493487408461157365e-03 1.140107899359619239e+02
4.111305000000024279e+02 9.550504545669647946e-03 1.571041202168704558e+02
4.112305000000024506e+02 9.607733146987301048e-03 1.344036198684316901e+02
4.113305000000024734e+02 9.665514772352126749e-03 9.519947215864036139e+01
4.114305000000024961e+02 9.723518263630881453e-03 1.374040326237527552e+02
4.115305000000025188e+02 9.781523797780501683e-03 1.789895156885466463e+02
4.116305000000025416e+02 9.840120497056004806e-03 7.714850267361809699e+01
4.117305000000025643e+02 9.899119242316276046e-03 1.184882008696089315e+02
