<K2400:Voltage>	<Time:Elapsed>	<setpoint1:Value>	<setpoint1:Count>	<SMU:Channel1:Current>	<SMU:Channel1:Voltage>	<TIC:In 4>
1.600000E+1	4.126640E+3	1.600000E+1	1.600000E+1	1.293650E-3	2.400000E+1	2.000130E+2
1.700000E+1	4.207120E+3	1.700000E+1	1.700000E+1	1.087890E-3	2.000000E+1	1.999830E+2
1.700000E+1	4.245620E+3	1.700000E+1	1.700000E+1	1.140120E-3	2.100000E+1	1.999750E+2
1.700000E+1	4.287572E+3	1.700000E+1	1.700000E+1	1.191540E-3	2.200000E+1	1.999840E+2
1.700000E+1	4.326129E+3	1.700000E+1	1.700000E+1	1.242930E-3	2.300000E+1	2.000000E+2
1.700000E+1	4.366194E+3	1.700000E+1	1.700000E+1	1.293120E-3	2.400000E+1	2.000160E+2
1.800000E+1	4.446638E+3	1.800000E+1	1.800000E+1	1.087190E-3	2.000000E+1	1.999860E+2
1.800000E+1	4.487183E+3	1.800000E+1	1.800000E+1	1.139490E-3	2.100000E+1	1.999780E+2
1.800000E+1	4.527683E+3	1.800000E+1	1.800000E+1	1.191040E-3	2.200000E+1	1.999890E+2
1.800000E+1	4.568094E+3	1.800000E+1	1.800000E+1	1.242320E-3	2.300000E+1	2.000040E+2
1.800000E+1	4.606510E+3	1.800000E+1	1.800000E+1	1.292760E-3	2.400000E+1	2.000200E+2
1.900000E+1	4.689624E+3	1.900000E+1	1.900000E+1	1.086840E-3	2.000000E+1	1.999880E+2
1.900000E+1	4.730128E+3	1.900000E+1	1.900000E+1	1.139280E-3	2.100000E+1	1.999810E+2
1.900000E+1	4.770178E+3	1.900000E+1	1.900000E+1	1.190660E-3	2.200000E+1	1.999910E+2
1.900000E+1	4.812349E+3	1.900000E+1	1.900000E+1	1.241900E-3	2.300000E+1	2.000040E+2
1.900000E+1	4.852470E+3	1.900000E+1	1.900000E+1	1.293220E-3	2.400000E+1	2.000210E+2
2.000000E+1	4.933134E+3	2.000000E+1	2.000000E+1	1.087140E-3	2.000000E+1	1.999930E+2
2.000000E+1	4.973647E+3	2.000000E+1	2.000000E+1	1.139580E-3	2.100000E+1	1.999830E+2
2.000000E+1	5.015539E+3	2.000000E+1	2.000000E+1	1.190920E-3	2.200000E+1	1.999890E+2
2.000000E+1	5.054160E+3	2.000000E+1	2.000000E+1	1.242220E-3	2.300000E+1	2.000030E+2
2.000000E+1	5.094199E+3	2.000000E+1	2.000000E+1	1.293250E-3	2.400000E+1	2.000150E+2
2.100000E+1	5.176059E+3	2.100000E+1	2.100000E+1	1.087430E-3	2.000000E+1	1.999840E+2
2.100000E+1	5.216072E+3	2.100000E+1	2.100000E+1	1.139580E-3	2.100000E+1	1.999750E+2
2.100000E+1	5.256585E+3	2.100000E+1	2.100000E+1	1.190940E-3	2.200000E+1	1.999820E+2
2.100000E+1	5.296748E+3	2.100000E+1	2.100000E+1	1.242090E-3	2.300000E+1	1.999960E+2
2.100000E+1	5.338624E+3	2.100000E+1	2.100000E+1	1.292790E-3	2.400000E+1	2.000110E+2
2.200000E+1	5.417699E+3	2.200000E+1	2.200000E+1	1.087000E-3	2.000000E+1	1.999830E+2
2.200000E+1	5.458229E+3	2.200000E+1	2.200000E+1	1.139270E-3	2.100000E+1	1.999730E+2
2.200000E+1	5.498512E+3	2.200000E+1	2.200000E+1	1.190740E-3	2.200000E+1	1.999850E+2
2.200000E+1	5.537161E+3	2.200000E+1	2.200000E+1	1.241840E-3	2.300000E+1	1.999990E+2
2.200000E+1	5.579402E+3	2.200000E+1	2.200000E+1	1.292320E-3	2.400000E+1	2.000150E+2
2.300000E+1	5.658135E+3	2.300000E+1	2.300000E+1	1.086820E-3	2.000000E+1	1.999890E+2
2.300000E+1	5.699094E+3	2.300000E+1	2.300000E+1	1.138820E-3	2.100000E+1	1.999820E+2
2.300000E+1	5.737744E+3	2.300000E+1	2.300000E+1	1.190780E-3	2.200000E+1	1.999920E+2
2.300000E+1	5.778171E+3	2.300000E+1	2.300000E+1	1.241750E-3	2.300000E+1	2.000040E+2
2.300000E+1	5.820650E+3	2.300000E+1	2.300000E+1	1.292460E-3	2.400000E+1	2.000210E+2
2.400000E+1	5.903091E+3	2.400000E+1	2.400000E+1	1.086850E-3	2.000000E+1	1.999900E+2
2.400000E+1	5.941640E+3	2.400000E+1	2.400000E+1	1.139100E-3	2.100000E+1	1.999810E+2
2.400000E+1	5.982148E+3	2.400000E+1	2.400000E+1	1.190250E-3	2.200000E+1	1.999910E+2
2.400000E+1	6.024128E+3	2.400000E+1	2.400000E+1	1.241730E-3	2.300000E+1	2.000040E+2
2.400000E+1	6.066111E+3	2.400000E+1	2.400000E+1	1.292190E-3	2.400000E+1	2.000190E+2
2.500000E+1	6.146624E+3	2.500000E+1	2.500000E+1	1.086670E-3	2.000000E+1	1.999870E+2
2.500000E+1	6.185102E+3	2.500000E+1	2.500000E+1	1.138860E-3	2.100000E+1	1.999770E+2
2.500000E+1	6.225517E+3	2.500000E+1	2.500000E+1	1.190470E-3	2.200000E+1	1.999850E+2
2.500000E+1	6.263750E+3	2.500000E+1	2.500000E+1	1.241550E-3	2.300000E+1	1.999970E+2
2.500000E+1	6.305962E+3	2.500000E+1	2.500000E+1	1.292220E-3	2.400000E+1	2.000120E+2
2.600000E+1	6.383190E+3	2.600000E+1	2.600000E+1	1.086020E-3	2.000000E+1	1.999870E+2
2.600000E+1	6.423492E+3	2.600000E+1	2.600000E+1	1.138430E-3	2.100000E+1	1.999770E+2
2.600000E+1	6.462184E+3	2.600000E+1	2.600000E+1	1.189530E-3	2.200000E+1	1.999850E+2
2.600000E+1	6.504093E+3	2.600000E+1	2.600000E+1	1.241310E-3	2.300000E+1	1.999980E+2
2.600000E+1	6.542680E+3	2.600000E+1	2.600000E+1	1.291550E-3	2.400000E+1	2.000140E+2
2.700000E+1	6.622996E+3	2.700000E+1	2.700000E+1	1.085850E-3	2.000000E+1	1.999840E+2
2.700000E+1	6.663502E+3	2.700000E+1	2.700000E+1	1.138210E-3	2.100000E+1	1.999760E+2
2.700000E+1	6.702113E+3	2.700000E+1	2.700000E+1	1.189240E-3	2.200000E+1	1.999860E+2
2.700000E+1	6.742686E+3	2.700000E+1	2.700000E+1	1.240600E-3	2.300000E+1	1.999980E+2
2.700000E+1	6.783119E+3	2.700000E+1	2.700000E+1	1.291630E-3	2.400000E+1	2.000140E+2
2.800000E+1	6.861599E+3	2.800000E+1	2.800000E+1	1.085850E-3	2.000000E+1	1.999870E+2
2.800000E+1	6.900082E+3	2.800000E+1	2.800000E+1	1.138110E-3	2.100000E+1	1.999790E+2
2.800000E+1	6.941899E+3	2.800000E+1	2.800000E+1	1.189450E-3	2.200000E+1	1.999870E+2
2.800000E+1	6.982144E+3	2.800000E+1	2.800000E+1	1.241010E-3	2.300000E+1	2.000010E+2
2.800000E+1	7.022679E+3	2.800000E+1	2.800000E+1	1.291180E-3	2.400000E+1	2.000180E+2
2.900000E+1	7.103037E+3	2.900000E+1	2.900000E+1	1.085480E-3	2.000000E+1	1.999880E+2
2.900000E+1	7.141597E+3	2.900000E+1	2.900000E+1	1.137790E-3	2.100000E+1	1.999790E+2
2.900000E+1	7.182166E+3	2.900000E+1	2.900000E+1	1.189020E-3	2.200000E+1	1.999860E+2
2.900000E+1	7.223095E+3	2.900000E+1	2.900000E+1	1.240430E-3	2.300000E+1	2.000000E+2
2.900000E+1	7.263669E+3	2.900000E+1	2.900000E+1	1.291150E-3	2.400000E+1	2.000140E+2
3.000000E+1	7.344098E+3	3.000000E+1	3.000000E+1	1.085630E-3	2.000000E+1	1.999870E+2
3.000000E+1	7.382682E+3	3.000000E+1	3.000000E+1	1.138000E-3	2.100000E+1	1.999780E+2
3.000000E+1	7.423119E+3	3.000000E+1	3.000000E+1	1.189030E-3	2.200000E+1	1.999880E+2
3.000000E+1	7.463662E+3	3.000000E+1	3.000000E+1	1.240340E-3	2.300000E+1	1.999980E+2
3.000000E+1	7.504255E+3	3.000000E+1	3.000000E+1	1.291100E-3	2.400000E+1	2.000150E+2
3.100000E+1	7.586510E+3	3.100000E+1	3.100000E+1	1.085750E-3	2.000000E+1	1.999860E+2
3.100000E+1	7.625537E+3	3.100000E+1	3.100000E+1	1.137840E-3	2.100000E+1	1.999770E+2
3.100000E+1	7.665586E+3	3.100000E+1	3.100000E+1	1.189030E-3	2.200000E+1	1.999850E+2
3.100000E+1	7.706047E+3	3.100000E+1	3.100000E+1	1.240480E-3	2.300000E+1	2.000000E+2
3.100000E+1	7.748606E+3	3.100000E+1	3.100000E+1	1.290990E-3	2.400000E+1	2.000150E+2
3.200000E+1	7.827727E+3	3.200000E+1	3.200000E+1	1.085640E-3	2.000000E+1	1.999880E+2
3.200000E+1	7.868024E+3	3.200000E+1	3.200000E+1	1.137930E-3	2.100000E+1	1.999780E+2
3.200000E+1	7.906593E+3	3.200000E+1	3.200000E+1	1.189240E-3	2.200000E+1	1.999880E+2
3.200000E+1	7.947560E+3	3.200000E+1	3.200000E+1	1.240300E-3	2.300000E+1	2.000020E+2
3.200000E+1	7.986121E+3	3.200000E+1	3.200000E+1	1.290930E-3	2.400000E+1	2.000180E+2
3.300000E+1	8.066496E+3	3.300000E+1	3.300000E+1	1.085470E-3	2.000000E+1	1.999890E+2
3.300000E+1	8.106630E+3	3.300000E+1	3.300000E+1	1.137650E-3	2.100000E+1	1.999820E+2
3.300000E+1	8.147105E+3	3.300000E+1	3.300000E+1	1.189090E-3	2.200000E+1	1.999900E+2
3.300000E+1	8.185668E+3	3.300000E+1	3.300000E+1	1.240060E-3	2.300000E+1	2.000050E+2
3.300000E+1	8.226096E+3	3.300000E+1	3.300000E+1	1.290850E-3	2.400000E+1	2.000190E+2
3.400000E+1	8.305186E+3	3.400000E+1	3.400000E+1	1.085270E-3	2.000000E+1	1.999930E+2
3.400000E+1	8.345603E+3	3.400000E+1	3.400000E+1	1.137390E-3	2.100000E+1	1.999850E+2
3.400000E+1	8.387663E+3	3.400000E+1	3.400000E+1	1.189110E-3	2.200000E+1	1.999950E+2
3.400000E+1	8.428097E+3	3.400000E+1	3.400000E+1	1.239910E-3	2.300000E+1	2.000080E+2
3.400000E+1	8.468232E+3	3.400000E+1	3.400000E+1	1.290050E-3	2.400000E+1	2.000220E+2
3.500000E+1	8.548601E+3	3.500000E+1	3.500000E+1	1.084680E-3	2.000000E+1	1.999920E+2
3.500000E+1	8.591469E+3	3.500000E+1	3.500000E+1	1.136980E-3	2.100000E+1	1.999830E+2
3.500000E+1	8.631464E+3	3.500000E+1	3.500000E+1	1.188310E-3	2.200000E+1	1.999910E+2
3.500000E+1	8.671751E+3	3.500000E+1	3.500000E+1	1.239400E-3	2.300000E+1	2.000020E+2
3.500000E+1	8.713590E+3	3.500000E+1	3.500000E+1	1.290010E-3	2.400000E+1	2.000160E+2
3.600000E+1	8.794198E+3	3.600000E+1	3.600000E+1	1.084600E-3	2.000000E+1	1.999880E+2
3.600000E+1	8.836584E+3	3.600000E+1	3.600000E+1	1.136590E-3	2.100000E+1	1.999780E+2
3.600000E+1	8.877143E+3	3.600000E+1	3.600000E+1	1.187950E-3	2.200000E+1	1.999840E+2
3.600000E+1	8.919062E+3	3.600000E+1	3.600000E+1	1.239400E-3	2.300000E+1	1.999980E+2
3.600000E+1	8.961346E+3	3.600000E+1	3.600000E+1	1.290100E-3	2.400000E+1	2.000150E+2
3.700000E+1	9.041976E+3	3.700000E+1	3.700000E+1	1.084770E-3	2.000000E+1	1.999880E+2
3.700000E+1	9.083003E+3	3.700000E+1	3.700000E+1	1.136790E-3	2.100000E+1	1.999800E+2
3.700000E+1	9.121641E+3	3.700000E+1	3.700000E+1	1.188230E-3	2.200000E+1	1.999880E+2
3.700000E+1	9.162168E+3	3.700000E+1	3.700000E+1	1.239550E-3	2.300000E+1	1.999990E+2
3.700000E+1	9.204758E+3	3.700000E+1	3.700000E+1	1.289690E-3	2.400000E+1	2.000130E+2
3.800000E+1	9.285687E+3	3.800000E+1	3.800000E+1	1.084400E-3	2.000000E+1	1.999870E+2
3.800000E+1	9.326162E+3	3.800000E+1	3.800000E+1	1.136510E-3	2.100000E+1	1.999790E+2
3.800000E+1	9.366550E+3	3.800000E+1	3.800000E+1	1.187860E-3	2.200000E+1	1.999880E+2
3.800000E+1	9.408637E+3	3.800000E+1	3.800000E+1	1.239100E-3	2.300000E+1	2.000000E+2
3.800000E+1	9.451561E+3	3.800000E+1	3.800000E+1	1.289310E-3	2.400000E+1	2.000170E+2
3.900000E+1	9.528656E+3	3.900000E+1	3.900000E+1	1.084040E-3	2.000000E+1	1.999930E+2
3.900000E+1	9.568654E+3	3.900000E+1	3.900000E+1	1.136070E-3	2.100000E+1	1.999830E+2
3.900000E+1	9.609011E+3	3.900000E+1	3.900000E+1	1.187590E-3	2.200000E+1	1.999910E+2
3.900000E+1	9.647648E+3	3.900000E+1	3.900000E+1	1.238910E-3	2.300000E+1	2.000050E+2
3.900000E+1	9.689642E+3	3.900000E+1	3.900000E+1	1.289280E-3	2.400000E+1	2.000180E+2
4.000000E+1	9.768684E+3	4.000000E+1	4.000000E+1	1.083920E-3	2.000000E+1	1.999900E+2
4.000000E+1	9.809703E+3	4.000000E+1	4.000000E+1	1.136170E-3	2.100000E+1	1.999820E+2
