# lambda	calibration	sensitivity
4.102781000000021550e+02 1.123253509231769524e-02 9.468126869060026252e+01
4.103781000000021777e+02 1.130317554199298732e-02 9.411582166821656870e+01
4.104781000000022004e+02 1.137381599166827940e-02 9.355037464583287488e+01
4.105781000000022232e+02 1.144448791938037190e-02 9.299344684249895465e+01
4.106781000000022459e+02 1.151517657431875598e-02 9.244104609737330236e+01
4.107781000000022686e+02 1.158586522925714006e-02 9.188864535224765007e+01
4.108781000000022914e+02 1.165656444314408687e-02 9.133957516127712495e+01
4.109781000000023141e+02 1.172729344407063591e-02 9.079990054107916819e+01
4.110781000000023369e+02 1.179802244499718496e-02 9.026022592088122565e+01
4.111781000000023596e+02 1.186875144592373227e-02 8.972055130068326889e+01
4.112781000000023823e+02 1.193950846196487926e-02 8.919184856089692914e+01
4.113781000000024051e+02 1.201026961944908801e-02 8.866476778192132713e+01
4.114781000000024278e+02 1.208103077693329502e-02 8.813768700294572511e+01
4.115781000000024505e+02 1.215180330526513530e-02 8.761659044454188461e+01
4.116781000000024733e+02 1.222258816238383332e-02 8.710198224851188797e+01
4.117781000000024960e+02 1.229337301950253133e-02 8.658737405248187713e+01
4.118781000000025188e+02 1.236415922951527441e-02 8.607385153659062382e+01
4.119781000000025415e+02 1.243495923831999632e-02 8.557140237447760001e+01
4.120781000000025642e+02 1.250575924712471650e-02 8.506895321236456198e+01
4.121781000000025870e+02 1.257655925592943841e-02 8.456650405025153816e+01
4.122781000000026097e+02 1.264736408557248261e-02 8.407228352513918423e+01
4.123781000000026324e+02 1.271817099627607639e-02 8.358161513985636759e+01
4.124781000000026552e+02 1.278897790697966844e-02 8.309094675457356516e+01
4.125781000000026779e+02 1.285978472536190680e-02 8.260381460820468646e+01
4.126781000000027007e+02 1.293059133570646779e-02 8.212465105069824745e+01
4.127781000000027234e+02 1.300139794605102879e-02 8.164548749319180843e+01
4.128781000000027461e+02 1.307220455639559152e-02 8.116632393568536941e+01
4.129781000000027689e+02 1.314300653167459546e-02 8.069742682637873088e+01
4.130781000000027916e+02 1.321380808499555103e-02 8.022946433394113797e+01
4.131781000000028143e+02 1.328460963831650833e-02 7.976150184150353084e+01
4.132781000000028371e+02 1.335540862197615551e-02 7.929938672354819573e+01
4.133781000000028598e+02 1.342620528768644420e-02 7.884254619874153036e+01
4.134781000000028826e+02 1.349700195339673461e-02 7.838570567393486499e+01
4.135781000000029053e+02 1.356779922054121394e-02 7.793036626886497231e+01
4.136781000000029280e+02 1.363860034131958443e-02 7.748464514951352555e+01
4.137781000000029508e+02 1.370940146209795318e-02 7.703892403016209300e+01
4.138781000000029735e+02 1.378020258287632367e-02 7.659320291081066046e+01
4.139781000000029962e+02 1.385102600009649465e-02 7.615558640703262938e+01
4.140781000000030190e+02 1.392185707149788156e-02 7.572075214971587798e+01
4.141781000000030417e+02 1.399268814289927020e-02 7.528591789239911236e+01
4.142781000000030645e+02 1.406354832955620041e-02 7.485475821854991807e+01
4.143781000000030872e+02 1.413446180340159446e-02 7.443032382387502821e+01
4.144781000000031099e+02 1.420537527724698851e-02 7.400588942920013835e+01
4.145781000000031327e+02 1.427628875109238256e-02 7.358145503452524849e+01
4.146781000000031554e+02 1.434737259190637000e-02 7.316646841689212977e+01
4.147781000000031781e+02 1.441846301156571482e-02 7.275184663209392966e+01
4.148781000000032009e+02 1.448955343122505790e-02 7.233722484729572955e+01
4.149781000000032236e+02 1.456083318949858742e-02 7.192782947653239489e+01
4.150781000000032464e+02 1.463225443564342143e-02 7.152233967040797324e+01
4.151781000000032691e+02 1.470367568178825544e-02 7.111684986428355160e+01
4.152781000000032918e+02 1.477519728732438684e-02 7.071289433926494894e+01
4.153781000000033146e+02 1.484717144731022287e-02 7.031585740684190000e+01
4.154781000000033373e+02 1.491914560729605890e-02 6.991882047441886527e+01
4.155781000000033600e+02 1.499111976728189320e-02 6.952178354199583055e+01
4.156781000000033828e+02 1.506373887435021909e-02 6.913087198713932935e+01
4.157781000000034055e+02 1.513652839095104910e-02 6.874157889487592854e+01
4.158781000000034282e+02 1.520931790755188084e-02 6.835228580261254194e+01
4.159781000000034510e+02 1.528191526182758400e-02 6.796588608410829124e+01
4.160781000000034737e+02 1.535422461269849922e-02 6.758382281133238223e+01
4.161781000000034965e+02 1.542653396356941618e-02 6.720175953855648743e+01
4.162781000000035192e+02 1.549885643965395743e-02 6.681976333542891666e+01
4.163781000000035419e+02 1.557251890532659194e-02 6.644461445936269683e+01
4.164781000000035647e+02 1.564618137099922646e-02 6.606946558329647701e+01
4.165781000000035874e+02 1.571984383667186444e-02 6.569431670723025718e+01
4.166781000000036101e+02 1.579207766391304765e-02 6.532328072248034800e+01
4.167781000000036329e+02 1.586343289697688883e-02 6.495477411275145130e+01
4.168781000000036556e+02 1.593478813004073000e-02 6.458626750302255459e+01
4.169781000000036784e+02 1.600611994724213463e-02 6.421927214819321250e+01
4.170781000000037011e+02 1.607737265452800421e-02 6.385738253088648264e+01
4.171781000000037238e+02 1.614862536181387379e-02 6.349549291357975278e+01
4.172781000000037466e+02 1.621987806909974683e-02 6.313360329627303003e+01
4.173781000000037693e+02 1.629368342671572850e-02 6.277744479188225313e+01
