# lambda	calibration	sensitivity
4.063305000000013365e+02 1.215902827872805333e-02 7.275847618755105373e+01
4.064305000000013592e+02 1.222545621791775762e-02 5.535651219401677992e+01
4.065305000000013820e+02 1.229231696137182174e-02 1.070320841557629308e+02
4.066305000000014047e+02 1.235942015130256887e-02 7.971439927593641528e+01
4.067305000000014275e+02 1.242682430490494108e-02 6.095724547667910542e+01
4.068305000000014502e+02 1.249457194339147030e-02 1.136519454254303554e+02
4.069305000000014729e+02 1.256256373128443460e-02 8.871221507912655113e+01
4.070305000000014957e+02 1.263084900380174666e-02 6.636018620295243409e+01
4.071305000000015184e+02 1.269946857106893541e-02 1.198748977007267058e+02
4.072305000000015411e+02 1.276833507850014607e-02 9.730900542850528723e+01
4.073305000000015639e+02 1.283749269168190169e-02 7.158446916211806865e+01
4.074305000000015866e+02 1.290696118130544960e-02 5.495686551629763983e+01
4.075305000000016094e+02 1.297677409698254174e-02 1.045682284615484434e+02
4.076305000000016321e+02 1.304683485919984343e-02 7.968193569075803850e+01
4.077305000000016548e+02 1.311718475971698945e-02 6.027665326352192920e+01
4.078305000000016776e+02 1.318784980585282519e-02 1.105924534119747022e+02
4.079305000000017003e+02 1.325876557255446613e-02 8.802036140279818710e+01
4.080305000000017230e+02 1.332996617836613648e-02 6.540031855648723536e+01
4.081305000000017458e+02 1.340140774715319581e-02 5.569247568483310573e+01
4.082305000000017685e+02 1.347323581506555679e-02 9.598951551739207844e+01
4.083305000000017912e+02 1.354531027937458040e-02 7.122383821291292350e+01
4.084305000000018140e+02 1.361767211225457276e-02 5.459339375539940420e+01
4.085305000000018367e+02 1.369033354166351336e-02 1.021070970423722883e+02
4.086305000000018595e+02 1.376324391534092945e-02 7.934701815334017283e+01
4.087305000000018822e+02 1.383643155407664541e-02 5.961283762007573017e+01
4.088305000000019049e+02 1.390991436878219294e-02 1.081658574075008517e+02
4.089305000000019277e+02 1.398364172926165432e-02 8.711762670591406277e+01
4.090305000000019504e+02 1.405764532802907148e-02 6.442665566627019302e+01
4.091305000000019731e+02 1.413191856601669037e-02 4.932716346663043794e+01
4.092305000000019959e+02 1.420652492541606138e-02 9.407930411086465483e+01
4.093305000000020186e+02 1.428137330195039523e-02 7.130127716798789095e+01
