# lambda	calibration	sensitivity
4.052305000000010864e+02 9.710126192928304756e-03 1.129157914890272139e+02
4.053305000000011091e+02 9.763677378412249572e-03 8.718735410713938450e+01
4.054305000000011319e+02 9.817537797553971962e-03 1.607677217549949944e+02
4.055305000000011546e+02 9.871627539741278587e-03 1.222038590583149897e+02
4.056305000000011773e+02 9.925975746436060607e-03 9.336652534819387483e+01
4.057305000000012001e+02 9.980633203218923499e-03 7.334879700708465577e+01
4.058305000000012228e+02 1.003560086549690894e-02 1.337561338182990767e+02
4.059305000000012456e+02 1.009079430011936875e-02 1.026715830200358255e+02
4.060305000000012683e+02 1.014625940460111772e-02 7.962072668438636924e+01
4.061305000000012910e+02 1.020203377686996170e-02 1.458452496649723287e+02
4.062305000000013138e+02 1.025804680096444044e-02 1.118228094443589811e+02
4.063305000000013365e+02 1.031432953410782796e-02 8.567989511677234304e+01
4.064305000000013592e+02 1.037086134109198483e-02 6.625396656528795347e+01
4.065305000000013820e+02 1.042778454372110010e-02 1.209698372788427321e+02
4.066305000000014047e+02 1.048494592826449204e-02 9.294361678414701089e+01
4.067305000000014275e+02 1.054239699525160411e-02 7.239450937016181342e+01
4.068305000000014502e+02 1.060017262923114434e-02 1.323998808766470745e+02
4.069305000000014729e+02 1.065819774026507093e-02 1.019530085595123552e+02
4.070305000000014957e+02 1.071651191797982211e-02 7.839241162175551381e+01
4.071305000000015184e+02 1.077515636053928867e-02 1.429458577236998451e+02
4.072305000000015411e+02 1.083406136659752043e-02 1.106728331858434444e+02
4.073305000000015639e+02 1.089325604389537218e-02 8.429021521181010712e+01
4.074305000000015866e+02 1.095277257582695854e-02 6.548189934613833429e+01
4.075305000000016094e+02 1.101265100624681907e-02 1.202729535514665713e+02
4.076305000000016321e+02 1.107278272288908516e-02 9.261573890413279742e+01
4.077305000000016548e+02 1.113321729624789161e-02 7.150093206600750761e+01
4.078305000000016776e+02 1.119399422555125180e-02 1.303212776357891300e+02
4.079305000000017003e+02 1.125503175931942546e-02 1.011563209799131471e+02
4.080305000000017230e+02 1.131636632868936350e-02 7.736965130782373024e+01
4.081305000000017458e+02 1.137796125804144305e-02 6.665789038226520802e+01
4.082305000000017685e+02 1.143999054122183182e-02 1.093912565754658885e+02
4.083305000000017912e+02 1.150226263035984339e-02 8.379537105091243632e+01
4.084305000000018140e+02 1.156484906928840692e-02 6.507020227100019838e+01
4.085305000000018367e+02 1.162778603350844535e-02 1.188862160600409652e+02
4.086305000000018595e+02 1.169097476369940908e-02 9.213809387284169361e+01
4.087305000000018822e+02 1.175446564360028978e-02 7.079008006219380889e+01
4.088305000000019049e+02 1.181830728396224967e-02 1.277608124547421653e+02
4.089305000000019277e+02 1.188240738752196005e-02 1.001880077081209919e+02
4.090305000000019504e+02 1.194680628023934467e-02 7.628101902181158778e+01
4.091305000000019731e+02 1.201151229377239900e-02 5.889698270706681171e+01
