# lambda	calibration	sensitivity
4.144781000000031099e+02 7.582047600389684762e-03 1.398696526417161579e+02
4.145781000000031327e+02 7.620729470599421976e-03 1.390339677079032299e+02
4.146781000000031554e+02 7.659428836441648826e-03 1.382167261026204983e+02
4.147781000000031781e+02 7.698128877890547846e-03 1.374001966999863953e+02
4.148781000000032009e+02 7.736828919339446865e-03 1.365836672973522923e+02
4.149781000000032236e+02 7.775564884924588034e-03 1.357781727369367673e+02
4.150781000000032464e+02 7.814327695691770936e-03 1.349809242299868401e+02
4.151781000000032691e+02 7.853090506458952971e-03 1.341836757230369130e+02
4.152781000000032918e+02 7.891878179948189770e-03 1.333898686240767120e+02
4.153781000000033146e+02 7.930777967862911310e-03 1.326115799980650536e+02
4.154781000000033373e+02 7.969677755777634584e-03 1.318332913720533668e+02
4.155781000000033600e+02 8.008577543692356124e-03 1.310550027460417084e+02
4.156781000000033828e+02 8.047673360102126916e-03 1.302915453839680140e+02
4.157781000000034055e+02 8.086820971651540249e-03 1.295320067755762636e+02
4.158781000000034282e+02 8.125968583200953582e-03 1.287724681671845133e+02
4.159781000000034510e+02 8.165272158877379463e-03 1.280201916890662517e+02
4.160781000000034737e+02 8.204809485886562295e-03 1.272787993332304382e+02
4.161781000000034965e+02 8.244346812895746862e-03 1.265374069773946246e+02
4.162781000000035192e+02 8.283888697236707274e-03 1.257961848968691498e+02
4.163781000000035419e+02 8.323895852262411243e-03 1.250723466966753961e+02
4.164781000000035647e+02 8.363903007288116948e-03 1.243485084964816281e+02
4.165781000000035874e+02 8.403910162313820917e-03 1.236246702962878743e+02
4.166781000000036101e+02 8.443907123636110526e-03 1.229110641844340677e+02
4.167781000000036329e+02 8.483897815962503086e-03 1.222037506747108750e+02
4.168781000000036556e+02 8.523888508288893912e-03 1.214964371649876682e+02
4.169781000000036784e+02 8.564020527200209149e-03 1.207926002099597156e+02
4.170781000000037011e+02 8.604630014504049268e-03 1.201005087094956281e+02
4.171781000000037238e+02 8.645239501807889387e-03 1.194084172090315406e+02
4.172781000000037466e+02 8.685848989111731241e-03 1.187163257085674530e+02
4.173781000000037693e+02 8.725871879388115773e-03 1.180360035980051236e+02
4.174781000000037920e+02 8.765781370239174655e-03 1.173579567155616132e+02
4.175781000000038148e+02 8.805690861090235272e-03 1.166799098331181028e+02
4.176781000000038375e+02 8.845660798386969365e-03 1.160076853891814466e+02
4.177781000000038603e+02 8.885705307767971517e-03 1.153426440206121839e+02
4.178781000000038830e+02 8.925749817148973669e-03 1.146776026520429355e+02
4.179781000000039057e+02 8.965863296287368903e-03 1.140132708955277820e+02
4.180781000000039285e+02 9.007117801411276131e-03 1.133606788612326710e+02
4.181781000000039512e+02 9.048372306535181625e-03 1.127080868269375600e+02
4.182781000000039739e+02 9.089626811659087119e-03 1.120554947926424489e+02
4.183781000000039967e+02 9.129974694709924038e-03 1.114106866336339579e+02
4.184781000000040194e+02 9.169869293922425224e-03 1.107697701787565165e+02
4.185781000000040422e+02 9.209763893134926410e-03 1.101288537238790752e+02
4.186781000000040649e+02 9.249750361516094130e-03 1.094909534274844987e+02
4.187781000000040876e+02 9.289977603094639810e-03 1.088609579606670934e+02
4.188781000000041104e+02 9.330204844673185491e-03 1.082309624938497024e+02
4.189781000000041331e+02 9.370432086251731171e-03 1.076009670270322971e+02
4.190781000000041558e+02 9.412095002158451032e-03 1.069802336255670383e+02
4.191781000000041786e+02 9.453943229113324909e-03 1.063606957341173711e+02
4.192781000000042013e+02 9.495791456068198785e-03 1.057411578426677039e+02
4.193781000000042241e+02 9.536766369472114702e-03 1.051265641200830174e+02
