# lambda	calibration	sensitivity
4.035781000000006316e+02 5.906075060888170587e-03 1.574980412348843117e+02
4.036781000000006543e+02 5.967924121957336910e-03 1.565432166903381699e+02
4.037781000000006770e+02 6.029842387008133540e-03 1.555984461559759211e+02
4.038781000000006998e+02 6.091836529799794092e-03 1.546646992009135033e+02
4.039781000000007225e+02 6.153830672591453776e-03 1.537309522458510571e+02
4.040781000000007452e+02 6.215837063292494608e-03 1.527989692470427201e+02
4.041781000000007680e+02 6.277974456486251978e-03 1.518858533592774620e+02
4.042781000000007907e+02 6.340111849680009348e-03 1.509727374715122039e+02
4.043781000000008135e+02 6.402249242873766719e-03 1.500596215837469458e+02
4.044781000000008362e+02 6.464484439850260757e-03 1.491605157281376535e+02
4.045781000000008589e+02 6.526762805373483370e-03 1.482675936080736960e+02
4.046781000000008817e+02 6.589041170896705116e-03 1.473746714880097102e+02
4.047781000000009044e+02 6.651361395035071226e-03 1.464877339815384403e+02
4.048781000000009271e+02 6.713778058424425127e-03 1.456145845961112286e+02
4.049781000000009499e+02 6.776194721813779027e-03 1.447414352106840454e+02
4.050781000000009726e+02 6.838611385203132928e-03 1.438682858252568337e+02
4.051781000000009954e+02 6.901151366979556452e-03 1.430127614572859329e+02
4.052781000000010181e+02 6.963703314650702969e-03 1.421589472892973163e+02
4.053781000000010408e+02 7.026255262321850353e-03 1.413051331213086712e+02
4.054781000000010636e+02 7.088875786487482469e-03 1.404611461830971564e+02
4.055781000000010863e+02 7.151559655160657537e-03 1.396262367142927019e+02
4.056781000000011090e+02 7.214243523833833473e-03 1.387913272454882758e+02
4.057781000000011318e+02 7.276943899526329418e-03 1.379587932775936281e+02
4.058781000000011545e+02 7.339756007939400237e-03 1.371423386014366201e+02
4.059781000000011772e+02 7.402568116352471923e-03 1.363258839252795838e+02
4.060781000000012000e+02 7.465380224765542742e-03 1.355094292491225758e+02
4.061781000000012227e+02 7.528283960902482780e-03 1.347062638039164426e+02
4.062781000000012455e+02 7.591220343998677719e-03 1.339078333118780790e+02
4.063781000000012682e+02 7.654156727094873526e-03 1.331094028198396870e+02
4.064781000000012909e+02 7.717134665435790297e-03 1.323170509771479431e+02
4.065781000000013137e+02 7.780191084479646906e-03 1.315361791937562543e+02
4.066781000000013364e+02 7.843247503523503514e-03 1.307553074103645656e+02
4.067781000000013591e+02 7.906303922567359255e-03 1.299744356269728769e+02
4.068781000000013819e+02 7.969470695459371715e-03 1.292097761198687635e+02
4.069781000000014046e+02 8.032642668270927738e-03 1.284458805420135832e+02
4.070781000000014274e+02 8.095814641082483762e-03 1.276819849641583744e+02
4.071781000000014501e+02 8.159049082831163618e-03 1.269272242400666926e+02
4.072781000000014728e+02 8.222331884946584152e-03 1.261795352687284719e+02
4.073781000000014956e+02 8.285614687062004685e-03 1.254318462973902371e+02
4.074781000000015183e+02 8.348915757322567660e-03 1.246867467442428392e+02
4.075781000000015410e+02 8.412304437177295022e-03 1.239540654128176982e+02
4.076781000000015638e+02 8.475693117032022383e-03 1.232213840813925430e+02
4.077781000000015865e+02 8.539081796886749745e-03 1.224887027499674019e+02
4.078781000000016093e+02 8.602549177714640879e-03 1.217663839498765412e+02
4.079781000000016320e+02 8.666038571610501159e-03 1.210469636032281358e+02
4.080781000000016547e+02 8.729527965506359705e-03 1.203275432565797161e+02
4.081781000000016775e+02 8.793054570830028879e-03 1.196122986430903268e+02
4.082781000000017002e+02 8.856639302861750787e-03 1.189035768006023375e+02
4.083781000000017229e+02 8.920224034893470960e-03 1.181948549581143482e+02
4.084781000000017457e+02 8.983808766925192868e-03 1.174861331156263731e+02
4.085781000000017684e+02 9.047483177654153802e-03 1.167907360586306709e+02
4.086781000000017912e+02 9.111157660183510226e-03 1.160953496699978160e+02
4.087781000000018139e+02 9.174832142712866651e-03 1.153999632813649754e+02
4.088781000000018366e+02 9.238557661492390050e-03 1.147125659957456065e+02
4.089781000000018594e+02 9.302316085222677583e-03 1.140303195791740194e+02
4.090781000000018821e+02 9.366074508952963382e-03 1.133480731626024323e+02
4.091781000000019048e+02 9.429849836420060513e-03 1.126687594373962469e+02
4.092781000000019276e+02 9.493686157554999741e-03 1.120000277275764802e+02
4.093781000000019503e+02 9.557522478689938969e-03 1.113312960177567135e+02
