# lambda	calibration	sensitivity
4.062781000000012455e+02 7.494339221095192537e-03 1.357692860047417867e+02
4.063781000000012682e+02 7.557495890286143429e-03 1.349244017559499866e+02
4.064781000000012909e+02 7.620691664873671493e-03 1.340861454983842975e+02
4.065781000000013137e+02 7.683961293412307041e-03 1.332604067801562735e+02
4.066781000000013364e+02 7.747230921950943455e-03 1.324346680619282495e+02
4.067781000000013591e+02 7.810500550489579002e-03 1.316089293437002254e+02
4.068781000000013819e+02 7.873873870994859553e-03 1.308012530204849497e+02
4.069781000000014046e+02 7.937252077509037926e-03 1.299944278048878061e+02
4.070781000000014274e+02 8.000630284023214564e-03 1.291876025892906625e+02
4.071781000000014501e+02 8.064067093067046540e-03 1.283913972380706809e+02
4.072781000000014728e+02 8.127549269295857720e-03 1.276034132614993410e+02
4.073781000000014956e+02 8.191031445524667165e-03 1.268154292849280154e+02
4.074781000000015183e+02 8.254530728881381840e-03 1.260307349228372971e+02
4.075781000000015410e+02 8.318112053875134290e-03 1.252618167540805842e+02
4.076781000000015638e+02 8.381693378868886740e-03 1.244928985853238572e+02
4.077781000000015865e+02 8.445274703862640925e-03 1.237239804165671444e+02
4.078781000000016093e+02 8.508929584109084163e-03 1.229702970048632267e+02
4.079781000000016320e+02 8.572605038138950834e-03 1.222208748332559480e+02
4.080781000000016547e+02 8.636280492168817505e-03 1.214714526616486694e+02
4.081781000000016775e+02 8.699990648856405565e-03 1.207279736760513771e+02
4.082781000000017002e+02 8.763755013387462822e-03 1.199937783395488253e+02
4.083781000000017229e+02 8.827519377918521815e-03 1.192595830030462878e+02
4.084781000000017457e+02 8.891283742449579072e-03 1.185253876665437360e+02
4.085781000000017684e+02 8.955131534283088113e-03 1.178080822937911165e+02
4.086781000000017912e+02 9.018979392911871326e-03 1.170907904438274159e+02
4.087781000000018139e+02 9.082827251540656274e-03 1.163734985938637294e+02
4.088781000000018366e+02 9.146722456040798366e-03 1.156661365386137987e+02
4.089781000000018594e+02 9.210648186168521670e-03 1.149651765878498964e+02
4.090781000000018821e+02 9.274573916296244974e-03 1.142642166370859798e+02
4.091781000000019048e+02 9.338515277388898667e-03 1.135667078871526741e+02
4.092781000000019276e+02 9.402513039613062326e-03 1.128816520876805072e+02
4.093781000000019503e+02 9.466510801837227720e-03 1.121965962882083403e+02
4.094781000000019731e+02 9.530508564061393115e-03 1.115115404887361734e+02
4.095781000000019958e+02 9.594560829255163042e-03 1.108393364166851427e+02
4.096781000000020185e+02 9.658624562126537361e-03 1.101698364076929408e+02
4.097781000000020413e+02 9.722688294997909944e-03 1.095003363987007532e+02
4.098781000000020640e+02 9.786777962010736673e-03 1.088373243271066002e+02
4.099781000000020867e+02 9.850901347881423770e-03 1.081827476933823817e+02
4.100781000000021095e+02 9.915024733752110866e-03 1.075281710596581632e+02
4.101781000000021322e+02 9.979150454142726029e-03 1.068742208066705786e+02
4.102781000000021550e+02 1.004332689728451924e-02 1.062338800987721328e+02
4.103781000000021777e+02 1.010750334042631073e-02 1.055935393908737012e+02
4.104781000000022004e+02 1.017167978356810394e-02 1.049531986829752555e+02
4.105781000000022232e+02 1.023588637554893356e-02 1.043219623458786600e+02
4.106781000000022459e+02 1.030010898842891563e-02 1.036955640128677203e+02
4.107781000000022686e+02 1.036433160130889770e-02 1.030691656798567806e+02
4.108781000000022914e+02 1.042856441055515192e-02 1.024463149942436360e+02
4.109781000000023141e+02 1.049282598398792662e-02 1.018334723044923749e+02
4.110781000000023369e+02 1.055708755742070133e-02 1.012206296147411138e+02
4.111781000000023596e+02 1.062134913085347604e-02 1.006077869249898384e+02
4.112781000000023823e+02 1.068563810268969433e-02 1.000064484613561575e+02
4.113781000000024051e+02 1.074993112480125169e-02 9.940681065460356081e+01
4.114781000000024278e+02 1.081422414691280906e-02 9.880717284785096410e+01
4.115781000000024505e+02 1.087852853547829034e-02 9.821363837001703700e+01
4.116781000000024733e+02 1.094284524806676817e-02 9.762672139720920939e+01
4.117781000000024960e+02 1.100716196065524774e-02 9.703980442440138177e+01
4.118781000000025188e+02 1.107148008822261831e-02 9.645400452391129420e+01
