# lambda	calibration	sensitivity
4.077305000000016548e+02 1.077357419613204914e-02 9.703254563901036533e+01
4.078305000000016776e+02 1.083337796913740048e-02 9.648800837776995820e+01
4.079305000000017003e+02 1.089341253138084026e-02 9.590851789187986753e+01
4.080305000000017230e+02 1.095370404848658441e-02 9.533428419344033955e+01
4.081305000000017458e+02 1.101427841764894208e-02 9.477895278518107602e+01
4.082305000000017685e+02 1.107503265882270500e-02 9.426452477526689222e+01
4.083305000000017912e+02 1.113604269847410719e-02 9.378182916658892054e+01
4.084305000000018140e+02 1.119741582553342857e-02 9.332072641773442001e+01
4.085305000000018367e+02 1.125893101484035964e-02 9.287144364534937324e+01
4.086305000000018595e+02 1.132069311212821443e-02 9.243671300239938660e+01
4.087305000000018822e+02 1.138275849162923188e-02 9.200937935015025460e+01
4.088305000000019049e+02 1.144505230094039483e-02 9.158649211874740104e+01
4.089305000000019277e+02 1.150757468817539125e-02 9.116927249594267835e+01
4.090305000000019504e+02 1.157034072746677966e-02 9.075474737851659768e+01
4.091305000000019731e+02 1.163347779456988008e-02 9.034252972255242753e+01
4.092305000000019959e+02 1.169676249248495156e-02 8.993182344695097186e+01
4.093305000000020186e+02 1.176031529805178673e-02 8.952266545469110781e+01
4.094305000000020414e+02 1.182422338521207927e-02 8.911447929909856214e+01
4.095305000000020641e+02 1.188831854326149497e-02 8.870687642557837194e+01
4.096305000000020868e+02 1.195266604108932360e-02 8.830006547627635882e+01
4.097305000000021096e+02 1.201730772642442199e-02 8.789371663896064035e+01
4.098305000000021323e+02 1.208224109509411538e-02 8.748769979618329273e+01
4.099305000000021550e+02 1.214738802534259116e-02 8.708207276732815671e+01
4.100305000000021778e+02 1.221279447139096697e-02 8.667670117318074574e+01
4.101305000000022005e+02 1.227863529386699452e-02 8.627157090666058536e+01
4.102305000000022233e+02 1.234461522668651307e-02 8.586655094153888967e+01
4.103305000000022460e+02 1.241087105647601177e-02 8.546168562848616546e+01
4.104305000000022687e+02 1.247747767715698050e-02 8.505692788966869955e+01
4.105305000000022915e+02 1.254432313208122228e-02 8.465223786855271726e+01
4.106305000000023142e+02 1.261142519757352080e-02 8.424763191838557930e+01
4.107305000000023369e+02 1.267880757356427447e-02 8.384308233284453138e+01
4.108305000000023597e+02 1.274658185983476230e-02 8.343859183168095228e+01
4.109305000000023824e+02 1.281452337776374691e-02 8.303413494030982633e+01
4.110305000000024052e+02 1.288276548561301769e-02 8.262972086233472169e+01
4.111305000000024279e+02 1.295141604808025364e-02 8.222534909126653702e+01
4.112305000000024506e+02 1.302025345577441373e-02 8.182099901759237071e+01
4.113305000000024734e+02 1.308936697617922064e-02 8.141668129084526129e+01
4.114305000000024961e+02 1.315881551715806716e-02 8.101239442164137472e+01
4.115305000000025188e+02 1.322855601281764867e-02 8.060813233361454877e+01
4.116305000000025416e+02 1.329854626189344406e-02 8.020390204315155813e+01
4.117305000000025643e+02 1.336879742912001900e-02 7.979969896226208448e+01
4.118305000000025871e+02 1.343952863990250345e-02 7.939553831882669499e+01
4.119305000000026098e+02 1.351039438999275359e-02 7.899140001166448144e+01
4.120305000000026325e+02 1.358155168006384798e-02 7.858730304501467856e+01
4.121305000000026553e+02 1.365309038860415027e-02 7.818324815354912971e+01
4.122305000000026780e+02 1.372486067195846648e-02 7.777922373796872080e+01
4.123305000000027007e+02 1.379689672812136128e-02 7.737525549187570562e+01
4.124305000000027235e+02 1.386923281002818559e-02 7.697133469056099386e+01
4.125305000000027462e+02 1.394193689721108693e-02 7.656746213502658804e+01
4.126305000000027690e+02 1.401482076895853475e-02 7.616364783158908836e+01
4.127305000000027917e+02 1.408800361806951569e-02 7.575990613599678625e+01
4.128305000000028144e+02 1.416160590327224592e-02 7.535623284063996152e+01
