# lambda	calibration	sensitivity
4.807471190000007368e+02 1.415610332598386534e-01 6.896032709106495240e+00
4.808471190000007596e+02 1.424188266544888781e-01 6.873654241830624123e+00
4.809471190000007823e+02 1.432768330475234220e-01 6.851277380956767082e+00
4.810471190000008050e+02 1.441363749102766989e-01 6.828912100366287596e+00
4.811471190000008278e+02 1.449959167730299758e-01 6.806546819775808110e+00
4.812471190000008505e+02 1.458554586357832528e-01 6.784181539185328624e+00
4.813471190000008733e+02 1.467162627320647839e-01 6.761826942104334215e+00
4.814471190000008960e+02 1.475775238139960255e-01 6.739476212937172583e+00
4.815471190000009187e+02 1.484387848959272393e-01 6.717125483770010064e+00
4.816471190000009415e+02 1.493006293726597822e-01 6.694779994062514561e+00
4.817471190000009642e+02 1.501635756413419454e-01 6.672444399531437753e+00
4.818471190000009869e+02 1.510265219100241363e-01 6.650108805000361833e+00
4.819471190000010097e+02 1.518894681787062995e-01 6.627773210469285026e+00
4.820471190000010324e+02 1.527539932899682207e-01 6.605452402783043908e+00
4.821471190000010552e+02 1.536185866569851344e-01 6.583132234354491352e+00
4.822471190000010779e+02 1.544831800240020203e-01 6.560812065925938796e+00
4.823471190000011006e+02 1.553486898761466395e-01 6.538500802375806664e+00
4.824471190000011234e+02 1.562148888583136386e-01 6.516196234645257768e+00
4.825471190000011461e+02 1.570810878404806654e-01 6.493891666914708871e+00
4.826471190000011688e+02 1.579475730866930216e-01 6.471589963997094408e+00
4.827471190000011916e+02 1.588153333671710465e-01 6.449301021098476916e+00
4.828471190000012143e+02 1.596830936476490714e-01 6.427012078199859424e+00
4.829471190000012371e+02 1.605508539281270963e-01 6.404723135301241044e+00
4.830471190000012598e+02 1.614198192522668107e-01 6.382446488830555431e+00
4.831471190000012825e+02 1.622890941868526948e-01 6.360173001666590054e+00
4.832471190000013053e+02 1.631583691214385790e-01 6.337899514502623788e+00
4.833471190000013280e+02 1.640282419079161502e-01 6.315632159676329849e+00
4.834471190000013507e+02 1.648989827406279196e-01 6.293373708648277720e+00
4.835471190000013735e+02 1.657697235733396890e-01 6.271115257620225591e+00
4.836471190000013962e+02 1.666404932540820616e-01 6.248857097941195704e+00
4.837471190000014190e+02 1.675126495936917204e-01 6.226612942743417811e+00
4.838471190000014417e+02 1.683848059333013791e-01 6.204368787545639918e+00
4.839471190000014644e+02 1.692569622729110379e-01 6.182124632347862025e+00
4.840471190000014872e+02 1.701299817867969189e-01 6.159888794733133111e+00
4.841471190000015099e+02 1.710035019016679925e-01 6.137657780930214635e+00
4.842471190000015326e+02 1.718770220165390661e-01 6.115426767127296159e+00
4.843471190000015554e+02 1.727508639089079534e-01 6.093198563480866525e+00
4.844471190000015781e+02 1.736256948332045857e-01 6.070978997276486488e+00
4.845471190000016009e+02 1.745005257575012181e-01 6.048759431072105563e+00
4.846471190000016236e+02 1.753753566817978504e-01 6.026539864867724638e+00
4.847471190000016463e+02 1.762512653161290577e-01 6.004328056831377936e+00
4.848471190000016691e+02 1.771273527081189680e-01 5.982117535627210714e+00
4.849471190000016918e+02 1.780034401001088784e-01 5.959907014423044380e+00
4.850471190000017145e+02 1.788800919781724785e-01 5.937699175056859069e+00
4.851471190000017373e+02 1.797573799190334554e-01 5.915494357585186158e+00
4.852471190000017600e+02 1.806346678598944322e-01 5.893289540113513247e+00
4.853471190000017828e+02 1.815120500920166247e-01 5.871084813880944608e+00
4.854471190000018055e+02 1.823904806802502110e-01 5.848881102069761084e+00
4.855471190000018282e+02 1.832689112684837696e-01 5.826677390258578448e+00
4.856471190000018510e+02 1.841473418567173559e-01 5.804473678447395812e+00
4.857471190000018737e+02 1.850265250670437567e-01 5.782266352524190189e+00
4.858471190000018964e+02 1.859060379885572045e-01 5.760057443318782333e+00
4.859471190000019192e+02 1.867855509100706246e-01 5.737848534113373589e+00
4.860471190000019419e+02 1.876653776935084117e-01 5.715635360714188984e+00
4.861471190000019647e+02 1.885459099119962123e-01 5.693412603126811078e+00
4.862471190000019874e+02 1.894264421304839852e-01 5.671189845539434060e+00
