# lambda	calibration	sensitivity
4.090305000000019504e+02 1.325904424413395198e-02 6.853209090264296321e+01
4.091305000000019731e+02 1.332908436033609229e-02 5.224301437199393661e+01
4.092305000000019959e+02 1.340299916047968561e-02 1.003887864548429292e+02
4.093305000000020186e+02 1.347674488698690463e-02 7.586291544883624738e+01
4.094305000000020414e+02 1.354863210659420190e-02 5.751808771692645195e+01
4.095305000000020641e+02 1.362187459734597386e-02 1.071806485807794900e+02
4.096305000000020868e+02 1.369762180829870238e-02 8.400711809583717127e+01
4.097305000000021096e+02 1.377168861621632170e-02 6.255510992736891751e+01
4.098305000000021323e+02 1.384436104899382756e-02 8.966473333231023446e+01
4.099305000000021550e+02 1.392199565297479354e-02 9.186959450883215084e+01
4.100305000000021778e+02 1.399821039005875664e-02 6.776465062537366180e+01
4.101305000000022005e+02 1.407221487021357263e-02 5.200215739533931725e+01
4.102305000000022233e+02 1.414935799393788642e-02 9.860799952661473355e+01
4.103305000000022460e+02 1.422752631600112012e-02 7.573355664248852293e+01
4.104305000000022687e+02 1.430379595855392656e-02 5.690334121807143219e+01
4.105305000000022915e+02 1.438018225887518001e-02 1.048637752785499515e+02
4.106305000000023142e+02 1.446045992667359219e-02 8.340176672724614093e+01
4.107305000000023369e+02 1.453904380064490083e-02 6.160622863691242657e+01
4.108305000000023597e+02 1.461567183066938592e-02 4.676081969144014749e+01
4.109305000000023824e+02 1.469685896904974337e-02 9.050492066383519330e+01
4.110305000000024052e+02 1.477745902448488434e-02 6.786998261153144085e+01
4.111305000000024279e+02 1.485599411311152793e-02 5.153825081357702231e+01
4.112305000000024506e+02 1.493641089203892602e-02 9.664083201871315509e+01
4.113305000000024734e+02 1.501910882130245983e-02 7.534907300220217508e+01
4.114305000000024961e+02 1.509998125790851936e-02 5.613987287044783159e+01
4.115305000000025188e+02 1.517965731185280664e-02 1.026000754098030257e+02
4.116305000000025416e+02 1.526441630818322834e-02 8.253413705967446390e+01
4.117305000000025643e+02 1.534759031086662881e-02 6.054636309168167685e+01
4.118305000000025871e+02 1.542850069429516947e-02 4.650458559862917696e+01
4.119305000000026098e+02 1.551290447042760236e-02 8.886563181947082057e+01
4.120305000000026325e+02 1.559794292426822972e-02 6.774035091687106558e+01
4.121305000000026553e+02 1.568113445511689838e-02 5.099356117305833180e+01
4.122305000000026780e+02 1.576485608744254349e-02 9.475000109539065818e+01
4.123305000000027007e+02 1.585187314394255823e-02 7.478183768840062839e+01
4.124305000000027235e+02 1.593729886723573713e-02 5.528782257980738279e+01
4.125305000000027462e+02 1.602109951810093066e-02 4.178803119323887216e+01
4.126305000000027690e+02 1.610929491226746960e-02 8.146806156419175693e+01
4.127305000000027917e+02 1.619663909193252982e-02 6.058230926937608274e+01
4.128305000000028144e+02 1.628216832071304604e-02 4.615173893241191649e+01
4.129305000000028372e+02 1.636973938288327143e-02 8.726279253963362237e+01
4.130305000000028599e+02 1.645898271955083952e-02 6.747762990935768812e+01
4.131305000000028826e+02 1.654665323342507932e-02 5.034068422456113723e+01
4.132305000000029054e+02 1.663370015643113320e-02 9.285836329069614692e+01
4.133305000000029281e+02 1.672477497408742311e-02 7.413747408176224951e+01
4.134305000000029509e+02 1.681450458283484731e-02 5.438732015176257306e+01
4.135305000000029736e+02 1.690245707295977631e-02 4.156138900102273226e+01
4.136305000000029963e+02 1.699364116294747526e-02 8.015264042114687015e+01
4.137305000000030191e+02 1.708508123365391415e-02 6.062864199327552228e+01
4.138305000000030418e+02 1.717493800231436815e-02 4.567493076428202414e+01
